,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
72,72,2,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,246.6,1669.9,Seefeld,POINT (11.187729849999998 48.03396965),685211.9367954084,1275.3661196750047,
73,73,3,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,285.3,1773.9,Seefeld,POINT (11.186513349999998 48.03267869999999),685338.8160853728,1334.1743429341675,
74,74,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,593.1,2509.7,Seefeld,POINT (11.177272916661865 48.02324029699004),686262.7824881483,2181.166425213395,
75,75,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,347.9,1985.2,Seefeld,POINT (11.1815449305193 48.03235236628744),685314.5151339687,1697.5895717189835,
76,76,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,282.2,2309.4,Seefeld,POINT (11.224772481392264 48.053366791261496),683539.2233292812,2932.151057707823,
77,77,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,245.5,2150.9,Seefeld,POINT (11.176686621150344 48.041033745693355),684303.3863541932,2341.4625294113102,
78,78,8,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,333.3,2486.2,Seefeld,POINT (11.22219555 48.0530374),683543.36555615,2804.1770282679945,
79,79,9,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,250.3,1548.1,Seefeld,POINT (11.188706533319246 48.034181000821),685200.5970393246,1212.2491914640093,
80,80,0,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,104.5,1114.8,Seefeld,POINT (11.217582749999998 48.03614674999999),685338.2787863907,1156.3126281252912,
81,81,1,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,376.1,1845.4,Seefeld,POINT (11.183968110547504 48.03290277456342),685283.4209240129,1525.57704132412,
82,82,2,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,251.2,2167.8,Seefeld,POINT (11.176387126976785 48.04112362320419),684289.9134453274,2365.846206675826,
83,83,3,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,200.9,1203.5,Seefeld,POINT (11.192658999999999 48.03712),684926.2126113921,1105.0166509882563,
84,84,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,344.3,1661.3,Seefeld,POINT (11.188255791454594 48.03095683214405),685548.8301798421,1189.3614822048594,
85,85,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,185.1,1448.2,Seefeld,POINT (11.189118366503008 48.037290850643494),684864.4432038799,1331.187105745759,
