,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
25,women,569.4,6538.8,yes,yes,569.4,6538.8,foot,yes,yes,569.4,6538.8,foot,yes,yes,569.4,6538.8,foot,yes,yes
26,women,2208.0,9816.0,no,yes,2208.0,9816.0,transit,no,yes,2208.0,9816.0,transit,no,yes,2208.0,9816.0,transit,no,yes
27,women,1888.0,9176.0,no,yes,1888.0,9176.0,transit,no,yes,1888.0,9176.0,transit,no,yes,1888.0,9176.0,transit,no,yes
28,women,1250.9,7901.8,no,yes,1250.9,7901.8,transit,no,yes,1250.9,7901.8,transit,no,yes,1250.9,7901.8,transit,no,yes
29,women,1125.3,7650.6,no,yes,1125.3,7650.6,transit,no,yes,1125.3,7650.6,transit,no,yes,1125.3,7650.6,transit,no,yes
30,women,529.5,6459.0,yes,yes,529.5,6459.0,foot,yes,yes,529.5,6459.0,foot,yes,yes,529.5,6459.0,foot,yes,yes
31,women,1620.5,8641.0,no,yes,1620.5,8641.0,transit,no,yes,1620.5,8641.0,transit,no,yes,1620.5,8641.0,transit,no,yes
32,women,1191.6,7783.2,no,yes,1191.6,7783.2,foot,no,yes,1191.6,7783.2,foot,no,yes,1191.6,7783.2,foot,no,yes
33,women,1483.0999999999997,8366.199999999999,no,yes,1483.1,8366.2,transit,no,yes,1483.1,8366.2,transit,no,yes,1483.1,8366.2,transit,no,yes
34,women,1670.2,8740.4,no,yes,1670.2,8740.4,transit,no,yes,1670.2,8740.4,transit,no,yes,1670.2,8740.4,transit,no,yes
35,women,1262.0,7924.0,no,yes,1262.0,7924.0,foot,no,yes,1262.0,7924.0,foot,no,yes,1262.0,7924.0,foot,no,yes
36,women,1907.0999999999997,9214.199999999999,no,yes,1907.1,9214.2,transit,no,yes,1907.1,9214.2,transit,no,yes,1907.1,9214.2,transit,no,yes
37,women,1833.7,9067.4,no,yes,1833.7,9067.4,transit,no,yes,1833.7,9067.4,transit,no,yes,1833.7,9067.4,transit,no,yes
38,women,1268.3,7936.6,no,yes,1268.3,7936.6,foot,no,yes,1268.3,7936.6,foot,no,yes,1268.3,7936.6,foot,no,yes
39,women,1772.2,8944.4,no,yes,1772.2,8944.4,transit,no,yes,1772.2,8944.4,transit,no,yes,1772.2,8944.4,transit,no,yes
40,women,564.6,6529.2,yes,yes,564.6,6529.2,foot,yes,yes,564.6,6529.2,foot,yes,yes,564.6,6529.2,foot,yes,yes
41,women,1092.9,7585.8,no,yes,1092.9,7585.8,foot,no,yes,1092.9,7585.8,foot,no,yes,1092.9,7585.8,foot,no,yes
42,women,1092.9,7585.8,no,yes,1092.9,7585.8,foot,no,yes,1092.9,7585.8,foot,no,yes,1092.9,7585.8,foot,no,yes
43,women,1727.2,8854.4,no,yes,1727.2,8854.4,transit,no,yes,1727.2,8854.4,transit,no,yes,1727.2,8854.4,transit,no,yes
44,women,1244.9,7889.8,no,yes,1244.9,7889.8,transit,no,yes,1244.9,7889.8,transit,no,yes,1244.9,7889.8,transit,no,yes
45,women,1075.5,7551.0,no,yes,1075.5,7551.0,foot,no,yes,1075.5,7551.0,foot,no,yes,1075.5,7551.0,foot,no,yes
46,women,1250.0,7900.0,no,yes,1250.0,7900.0,foot,no,yes,1250.0,7900.0,foot,no,yes,1250.0,7900.0,foot,no,yes
47,women,1530.0,8460.0,no,yes,1530.0,8460.0,transit,no,yes,1530.0,8460.0,transit,no,yes,1530.0,8460.0,transit,no,yes
48,women,1556.8,8513.6,no,yes,1556.8,8513.6,transit,no,yes,1556.8,8513.6,transit,no,yes,1556.8,8513.6,transit,no,yes
